bugid,when,what,removed,added
1427771,2018-01-11 23:45:18 PST,Comment 6 Tag,,mozreview-review
1427771,2018-01-11 23:49:30 PST,Flags,,needinfo?(snorp)
1427771,2018-01-18 07:00:16 PST,CC,,droeh
1427771,2018-01-18 07:00:16 PST,Flags,needinfo?(snorp),needinfo?(droeh)
1427771,2018-01-19 06:29:20 PST,Flags,needinfo?(droeh),
1427771,2018-01-23 12:34:49 PST,Attachment #8944851  Flags,,review?(snorp)
1427771,2018-01-23 13:47:40 PST,Attachment #8944851  Flags,review?(snorp),review-
1427771,2018-01-23 14:19:29 PST,Attachment #8944851  Attachment is obsolete,0,1
1427771,2018-01-23 14:19:29 PST,Attachment #8944913  Flags,,review?(snorp)
1427771,2018-01-23 14:50:30 PST,Attachment #8944913  Flags,review?(snorp),review+
1427771,2018-01-24 14:43:20 PST,Status,NEW,RESOLVED
1427771,2018-01-24 14:43:20 PST,Resolution,---,FIXED
1427771,2018-01-24 14:43:20 PST,Target Milestone,---,Firefox 60
1427771,2018-01-24 14:43:20 PST,Closed,,2018/1/24 22:43
1427771,2018-01-24 14:43:20 PST,status-firefox60,---,fixed
1427771,2018-01-24 14:43:20 PST,Comment 15 Tag,,bugherder
1427771,2018-01-24 18:49:49 PST,Flags,,needinfo?(cnevinchen)
1427771,2018-01-24 18:49:49 PST,status-firefox58,---,unaffected
1427771,2018-01-24 18:50:13 PST,Flags,needinfo?(cnevinchen),needinfo?(droeh)
1427771,2018-01-25 07:01:55 PST,Flags,needinfo?(droeh),
1427771,2018-01-25 07:01:55 PST,Attachment #8944913  Flags,,approval-mozilla-beta?
1427771,2018-01-29 13:46:35 PST,Summary,Blank screen when youtube exists from full-screen in custom tabs,Blank screen when youtube exits from full-screen in custom tabs
1427771,2018-01-29 16:40:04 PST,CC,,ioana.chiorean
1427771,2018-01-29 16:40:04 PST,Flags,,needinfo?(ioana.chiorean)
1427771,2018-01-29 16:40:04 PST,Attachment #8944913  Flags,approval-mozilla-beta?,approval-mozilla-beta+
1427771,2018-01-30 00:44:39 PST,CC,,sorina.florean
1427771,2018-01-30 00:44:39 PST,Flags,needinfo?(ioana.chiorean),
1427771,2018-01-30 00:44:39 PST,status-firefox60,fixed,verified
1427771,2018-01-30 03:09:20 PST,status-firefox59,affected,fixed
1427771,2018-01-30 03:09:20 PST,Comment 20 Tag,,bugherder
1427771,2018-01-30 03:09:20 PST,Comment 20 Tag,,uplift
1427771,2018-03-01 07:37:05 PST,Status,RESOLVED,VERIFIED
1427771,2018-03-01 07:37:05 PST,status-firefox59,fixed,verified
